file,num_segments,context_languages,strategy,comet,chrf,bleu,ter,bertscore
wget-1.25.0.pt_BR.nllb.csv,560,nan,nllb,nan,58.50598974730134,42.16276591344959,52.94549010021999
wget-1.25.0.pt_BR.llama.ctx-0.po.meta.csv,596,nan,LLAMA,78.83434903701679,48.32070596508157,27.40850980071025,70.85020639034445,85.07673501368338
wget-1.25.0.pt_BR.llama.ctx-1.de.po.meta.csv,596,DE,LLAMA,80.285700635622,50.30675566750231,29.371976848512745,68.2526809744391,85.95766018101033
wget-1.25.0.pt_BR.llama.ctx-1.es.po.meta.csv,596,ES,LLAMA,82.87667847119722,56.64800120921061,36.348984430439735,57.864606146735156,88.39288982969002
wget-1.25.0.pt_BR.llama.ctx-1.fr.po.meta.csv,596,FR,LLAMA,81.73140018378328,51.784124980601035,31.638524813802647,67.51842418076232,86.81942359013046
wget-1.25.0.pt_BR.llama.ctx-1.id.po.meta.csv,596,ID,LLAMA,80.01185202558568,49.27156328608151,29.69880704238676,66.7356830833006,86.13987086003259
wget-1.25.0.pt_BR.llama.ctx-1.ru.po.meta.csv,596,RU,LLAMA,80.49679140016536,50.1525022551879,30.259327533798775,66.08449936922403,86.29761615255535
wget-1.25.0.pt_BR.llama.ctx-1.vi.po.meta.csv,596,VI,LLAMA,78.58148703239108,46.75238686097245,27.455266927752916,72.26115142046767,84.97268390535508
wget-1.25.0.pt_BR.llama.ctx-1.zh_CN.po.meta.csv,596,ZH_CN,LLAMA,81.42771211346523,51.19302481984905,30.63283250175482,65.20239013689883,86.5031735509034
wget-1.25.0.pt_BR.llama.ctx-2.de-es.po.meta.csv,596,"DE,ES",LLAMA,81.28727194946885,52.55098105618861,32.08159651840344,65.32472213254486,86.69269243942811
wget-1.25.0.pt_BR.llama.ctx-2.de-fr.po.meta.csv,596,"DE,FR",LLAMA,81.26267474769746,51.530923166536816,31.422173570860412,65.32208757519474,86.56340278435073
wget-1.25.0.pt_BR.llama.ctx-2.de-id.po.meta.csv,596,"ID,DE",LLAMA,80.16728218269829,49.909461859875655,30.423879429438667,66.00009697330795,86.31520863347406
wget-1.25.0.pt_BR.llama.ctx-2.de-ru.po.meta.csv,596,"RU,DE",LLAMA,80.8633459494418,51.4156971061099,31.428611557442522,64.5175003635351,86.52338388582204
wget-1.25.0.pt_BR.llama.ctx-2.de-vi.po.meta.csv,596,"VI,DE",LLAMA,79.32765484856279,47.78056711815116,28.791338948459686,70.17382760969113,85.60264550599476
wget-1.25.0.pt_BR.llama.ctx-2.de-zh_CN.po.meta.csv,596,"DE,ZH_CN",LLAMA,81.09042698004902,51.30092093184151,31.083240726381398,66.04978062598528,86.49588034256993
wget-1.25.0.pt_BR.llama.ctx-2.es-fr.po.meta.csv,596,"FR,ES",LLAMA,82.28954209277293,53.85006501285876,33.786438235362226,63.62644995986254,87.36958026685971
wget-1.25.0.pt_BR.llama.ctx-2.es-id.po.meta.csv,596,"ID,ES",LLAMA,81.08125374521185,51.225027655704196,31.918623089239812,63.41673188580249,86.86650485400385
wget-1.25.0.pt_BR.llama.ctx-2.es-ru.po.meta.csv,596,"RU,ES",LLAMA,82.06621564474682,53.98236115348762,33.76990364461145,61.02337242512017,87.49968025508343
wget-1.25.0.pt_BR.llama.ctx-2.es-vi.po.meta.csv,596,"VI,ES",LLAMA,80.42605588800156,49.23881218348737,30.568346236915723,67.96696162292578,86.01294632926083
wget-1.25.0.pt_BR.llama.ctx-2.es-zh_CN.po.meta.csv,596,"ZH_CN,ES",LLAMA,82.30458844028064,53.348899507440876,32.91976873942154,62.27120952733738,87.19237735807495
wget-1.25.0.pt_BR.llama.ctx-2.fr-id.po.meta.csv,596,"ID,FR",LLAMA,80.43887299179231,49.58003864845441,30.753563653412595,65.83394285302403,86.22454119808722
wget-1.25.0.pt_BR.llama.ctx-2.fr-ru.po.meta.csv,596,"RU,FR",LLAMA,81.58718149033969,52.25940358228263,32.174548858590434,62.483661669957286,87.02306109386802
wget-1.25.0.pt_BR.llama.ctx-2.fr-vi.po.meta.csv,596,"VI,FR",LLAMA,79.69412981663774,48.350954241062986,29.12357326283232,69.20706713566926,85.55448616311054
wget-1.25.0.pt_BR.llama.ctx-2.fr-zh_CN.po.meta.csv,596,"FR,ZH_CN",LLAMA,82.01477204093197,53.44807315616056,33.51348574577995,65.06736098055818,87.20996514862816
wget-1.25.0.pt_BR.llama.ctx-2.id-ru.po.meta.csv,596,"RU,ID",LLAMA,80.64454885937224,50.886978184616204,31.267181993519564,63.991409979641105,86.56383053768401
wget-1.25.0.pt_BR.llama.ctx-2.id-vi.po.meta.csv,596,"VI,ID",LLAMA,78.98125366476559,45.82740973111948,27.607961029608056,71.81675370101968,85.00114281305531
wget-1.25.0.pt_BR.llama.ctx-2.id-zh_CN.po.meta.csv,596,"ID,ZH_CN",LLAMA,80.61391042182909,49.52373055432737,30.30658246456673,66.09132577162781,86.33632936933697
wget-1.25.0.pt_BR.llama.ctx-2.ru-vi.po.meta.csv,596,"RU,VI",LLAMA,80.40596337226414,49.944904030847844,30.465234540200214,66.70072605041814,86.14725037509163
wget-1.25.0.pt_BR.llama.ctx-2.ru-zh_CN.po.meta.csv,596,"RU,ZH_CN",LLAMA,81.22952924978813,51.34278843679331,31.5351957566974,64.2075230685517,86.7609180060009
wget-1.25.0.pt_BR.llama.ctx-2.vi-zh_CN.po.meta.csv,596,"VI,ZH_CN",LLAMA,79.99464034934172,47.76961911000279,29.061736605684732,69.97230664647772,85.47753754678189
