Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]	Usage: fuser [-fIMuvw] [-a-a-a-s] [-4 a-a-6] [-c-a-m-a-n SPACE]
[-k [-i] [-SIGNAL]] NAME...	[k [-i] [-SIGNAL] NOME...
fuser -l	fuser -l
fuser -V	fuser -V
Show which processes use the named files, sockets, or filesystems.	Mostre quais processos usam os arquivos nomeados, soquetes ou sistemas de arquivos.
-a,--all              display unused files too	-a,--todos exibem arquivos não usados também
-i,--interactive      ask before killing (ignored without -k)	-i,--interativo perguntar antes de matar (ignorado sem -k)
-I,--inode            use always inodes to compare files	-I,--inode use always inodes para comparar arquivos
-k,--kill             kill processes accessing the named file	-k,--kill kill processos acessando o arquivo nomeado
-l,--list-signals     list available signal names	-l,--lista de sinais lista de nomes de sinais disponíveis
-m,--mount            show all processes using the named filesystems or	-m,--mount mostra todos os processos usando os sistemas de arquivos nomeados ou
block device	dispositivo de bloqueio de blocos
-M,--ismountpoint     fulfill request only if NAME is a mount point	-M,--ismountpoint fulfill request only if NAME is a mount point
-n,--namespace SPACE  search in this name space (file, udp, or tcp)	-n,--namespace SPACE search in this name space (file, udp, or tcp)
-s,--silent           silent operation	-s,--silent silent operation
-SIGNAL               send this signal instead of SIGKILL	-SIGNAL envia este sinal em vez de SIGKILL
-u,--user             display user IDs	-u,--user exibe IDs de usuário
-v,--verbose          verbose output	-v,--verbose verbose output
-w,--writeonly        kill only processes with write access	-w,--writeonly kill only processes with write access
-V,--version          display version information	-V,--version displays version information
-4,--ipv4             search IPv4 sockets only	4,--ipv4 search - sockets IPv4 only
-6,--ipv6             search IPv6 sockets only	6,--ipv6 search - sockets IPv6 only
udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]	udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]
fuser (PSmisc) %s	fuser (PSmisc) %s
Copyright (C) 1993-2024 Werner Almesberger and Craig Small	Copyright (C) 1993-2024 Werner Almesberger e Craig Small
PSmisc comes with ABSOLUTELY NO WARRANTY.	PSmisc vem com absolutamente nenhuma garantia.
This is free software, and you are welcome to redistribute it under	Este é um software livre, e você é bem-vindo para redistribuí-lo sob.
the terms of the GNU General Public License.	os termos da Licença Pública Geral GNU.
For more information about these matters, see the files named COPYING.	Para mais informações sobre esses assuntos, consulte os arquivos denominados COPYING.
Cannot open /proc directory: %s	Não pode abrir o diretório /proc: %s
Cannot allocate memory for matched proc: %s	Não pode atribuir memória para proc correspondente: %s
Specified filename %s does not exist.	O nome de arquivo especificado %s não existe.
Cannot stat %s: %s	Não pode indicar %s: %s.
Cannot resolve local port %s: %s	Não conseguiu resolver o porto local %s: %s
Unknown local port AF %d	Porto local desconhecido AF %d
Cannot open protocol file "%s": %s	Não pode abrir o arquivo de protocolo "%s": %s
Specified filename %s is not a mountpoint.	O nome de arquivo especificado %s não é um ponto de montagem.
%s: Invalid option %s	%s: Opção inválida %s
Namespace option requires an argument.	A opção namespace requer um argumento.
Invalid namespace name	Nome de espaço de nomes inválido
You can only use files with mountpoint options	Você só pode usar arquivos com opções de ponto de montagem
No process specification given	Não foi dada nenhuma especificação de processo.
