(dir)	(dir) 
(parent dir)	(parent dir)
(huge)	(grande)
Search Wrapped	Search Wrapped
This is the only occurrence	Esta é a única ocorrência
Search	Pesquisa Busca
[Backwards]	[Backwards]
Cancelled	Cancelado
No current search pattern	Não há padrão de pesquisa atual
Cannot open directory: %s	Não pode abrir o diretório: %s
Go To Directory	Vá para o diretório
Can't go outside of %s	Não posso ir para fora de %s
Can't move up a directory	Não pode subir um diretório
Error reading %s: %s	Erro de leitura de %s: %s
The working directory has disappeared	O diretório de trabalho desapareceu
Unknown syntax name: %s	Nome de sintaxe desconhecido: %s
magic_load() failed: %s	magic_load() falhou: %s
magic_file(%s) failed: %s	magic_file(%s) falhou: %s
Nothing was cut	Nada foi cortado
Copied nothing	Não copiou nada
Cutbuffer is empty	O Cutbuffer está vazio
Error deleting lock file %s: %s	Erro na exclusão do arquivo de bloqueio %s: %s
Couldn't determine my identity for lock file	Não conseguiu determinar minha identidade para o arquivo de bloqueio
Couldn't determine hostname: %s	Não conseguiu determinar o nome de hospedeiro: %s
Error writing lock file %s: %s	Erro de escrita de arquivo de bloqueio %s: %s
Someone else is also editing this file	Alguém também está editando este arquivo.
Error opening lock file %s: %s	Erro de abertura do arquivo de bloqueio de bloqueio %s: %s
Bad lock file is ignored: %s	O arquivo de bloqueio ruim foi ignorado: %s
File %s is being edited by %s (with %s, PID %s); open anyway?	O arquivo %s está sendo editado por %s (com %s, PID %s); aberto de qualquer maneira?
Directory '%s' does not exist	O diretório '%s' não existe
Path '%s': %s	Caminho '%s': %s
Path '%s' is not a directory	O caminho '%s' não é um diretório
Path '%s' is not accessible	O caminho '%s' não é acessível
Directory '%s' is not writable	O diretório '%s' não é escritível
Can't read file from outside of %s	Não pode ler arquivo de fora de %s
"%s" is a directory	"%s" é um diretório
"%s" is a device file	"%s" é um arquivo de dispositivo
"%s" is a FIFO	"%s" é um FIFO
%s is meant to be read-only	O %s deve ser de somente leitura
New Buffer	Novo Buffer
DOS	DOS  DOS  DOS
Mac	Mac
No more open file buffers	Não há mais buffers de arquivos abertos
Interrupted	Interrupto
File '%s' is unwritable	O arquivo '%s' é improvável
New File	Novo arquivo 
File "%s" not found	O arquivo "%s" não foi encontrado
Reading from FIFO...	Leitura de FIFO...
Reading...	Leitura...
Could not create pipe: %s	Não conseguiu criar um tubo: %s
Could not fork: %s	Não conseguiu forjar: %s
Executing...	Executando...
filtering	filtragem
