%s: unable to resolve bind address %s; disabling bind.	%s: incapaz de resolver o endereço de ligação %s; desativando a ligação.
Connecting to %s|%s|:%d...	Conexando-se a %s em:%d...
Connecting to %s:%d...	Conexando-se a %s:%d...
Connecting to [%s]:%d...	Conexando-se a [%s]:%d...
setsockopt SO_RCVBUF failed: %s	setsockopt SO_RCVBUF falhou: %s
connected.	Conectado. Conectado.
failed: %s.	Falhou: %s.
%s: unable to resolve host address %s	%s: incapaz de resolver o endereço do host, %s.
setsockopt SO_REUSEADDR failed: %s	setsockopt SO_REUSEADDR falhou: %s
Too many fds open.  Cannot use select on a fd >= %d	Não posso usar selecionar em um fd >= %d
Converted links in %d files in %s seconds.	Convertido links em arquivos %d em %s segundos.
Converting links in %s...	Converter links em %s...
nothing to do.	Não há nada a fazer.
%d.	%d.
Cannot convert links in %s: %s	Não pode converter links em %s: %s
Unable to delete %s: %s	Incapaz de excluir %s: %s
Cannot back up %s as %s: %s	Não pode fazer backup de %s como %s: %s
Unable to get cookie for %s	Incapaz de obter um cookie para %s
Syntax error in Set-Cookie: %s at position %d.	Erro de sintaxe no Set-Cookie: %s na posição %d.
Cookie coming from %s attempted to set domain to	Um cookie proveniente de %s tentou definir o domínio para.
%s	%s
Cannot open cookies file %s: %s	Não pode abrir o arquivo de cookies %s: %s.
Error writing to %s: %s	Erro de escrita para %s: %s
Error closing %s: %s	Erro no fechamento de %s: %s
Unsupported listing type, trying Unix listing parser.	Tipo de listagem não suportado, tentando parceria de listagem Unix.
Index of /%s on %s:%d	Índice de /%s em %s:%d
time unknown	tempo desconhecido
File	Arquivo 
Directory	Directório Directório
Link	Link Link Link
Not sure	Não tenho certeza
(%s bytes)	(%s bytes)
Length: %s	Comprimento: %s
, %s (%s) remaining	, %s (%s) restante
, %s remaining	%s restante ,
(unauthoritative)	(unautoritário)
Could not initialize SSL. It will be disabled.	Não foi possível inicializar o SSL. Ele será desativado.
Logging in as %s ...	Logando-se como %s ...
Error in server response, closing control connection.	Erro na resposta do servidor, fechamento da conexão de controle.
Error in server greeting.	Erro na saudação do servidor.
Write failed, closing control connection.	Escrever falhou, fechar a conexão de controle.
The server refuses login.	O servidor recusa o login.
Login incorrect.	Login incorreto.
Logged in!	Ligado para dentro!
Server did not accept the 'PBSZ 0' command.	O servidor não aceitou o comando 'PBSZ 0'.
Server did not accept the 'PROT %c' command.	O servidor não aceitou o comando 'PROT %c'.
Server error, can't determine system type.	Erro do servidor, não pode determinar o tipo de sistema.
done.	Feito.
done.	Feito.
