Applications	Aplicações
applications	Aplicações 
Desktop 	Desktop
desktop	 	desktop
Documents	Documentos
documents	documentais
Download	Download Download
download	Download download download
Downloads	Downloads
downloads	downloads downloads
Movies		Filmes
movies		filmes 
Music		Música
music		Música 
Photos		Fotos 
photos		fotos 
Pictures	Pinturas de imagens.
pictures	imagens 
Projects	Projetos
projects	projetos
Public		Público
public		público 
Share		Compartilhar
share	 	compartilhar 
Templates	Templates
templates	modelos 
Videos	 	Vídeos 
videos		vídeos
