warning: %s: ignoring bogus filename	Aviso: %s: ignorando o nome do arquivo falso
can't determine current directory	não pode determinar o diretório atual
can't set effective uid	Não pode definir um uid efetivo.
the setuid man user "%s" does not exist	O usuário do usuário "%s" não existe
fatal: regex `%s': %s	fatal: regex `%s': %s
multi key %s does not exist	A chave %s não existe multi.
can't lock index cache %s	Não pode bloquear o cache de índice de índice %s.
index cache %s corrupt	O índice de cache de índice %s corrupto
cannot replace key %s	Não pode substituir a chave %s.
bad fetch on multi key %s	Mal trazido em multi-chave %s
Database %s corrupted; rebuild with mandb --create	Database %s corrompida; reconstruir com mandb --create
warning: %s has no version identifier	Aviso: %s não tem identificador de versão
warning: %s is version %s, expecting %s	Aviso: %s é a versão de %s, esperando %s.
fatal: unable to insert version identifier into %s	fatal: incapaz de inserir o identificador de versão em %s
[MAN DATABASE]	[Base de Dados Humanos]
The man database defaults to %s%s.	O banco de dados do homem é padrão para %s%s.
emit debugging messages	Emite mensagens de depuração
can't open %s for reading	Não pode abrir %s para leitura
[SECTION...]	[SECÇÃO...]
PATH	PATH
set search path for manual pages to PATH	O caminho de pesquisa para páginas manuais para PATH foi definido.
FILE	FILE  FILE 
use this user configuration file	Use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file use this user configuration file
man command failed with exit status %d	O comando homem falhou com o status de saída %d
NULL content for key: %s	Conteúdo NULL para chave: %s
Updating cat files for section %s of man hierarchy %s	Atualizando arquivos cat para a seção %s da hierarquia do homem %s
cannot write within %s	Não pode escrever dentro de %s
cannot read database %s	Não pode ler a base de dados %s.
unable to update %s	incapaz de atualizar o %s
warning: %s/man%s/%s.%s*: competing extensions	Aviso: %s/man%s/%s.%s*: extensões concorrentes
can't update index cache %s	Não pode atualizar o cache de índice %s.
warning: %s: bad symlink or ROFF `.so' request	Aviso: %s: bad symlink ou ROFF `.so' request
warning: %s: ignoring empty file	Aviso: %s: ignorando um arquivo vazio
warning: %s: whatis parse for %s(%s) failed	Aviso: %s: whatis parse for %s(%s) falhou
can't search directory %s	Não pode pesquisar o diretório %s.
can't chown %s	Não pode escolher %s
warning: cannot create catdir %s	aviso: não pode criar catdir %s
can't chmod %s	Não pode chmodar %s
can't change to directory %s	Não pode mudar para o diretório %s.
can't create index cache %s	Não pode criar o cache de índice %s.
Updating index cache for path `%s/%s'. Wait...	Atualizando o cache de índice para o caminho `%s/%s'.
done.	Feito.
Purging old database entries in %s...	Purging old database entries in %s...
warning: failed to store entry for %s(%s)	aviso: falhou em armazenar a entrada para %s ((%s) )
PATH SECTION NAME	PATH SECTION NAME
EXTENSION	EXTENSIÃO  Extensão
limit search to extension type EXTENSION	limite de busca para extensão tipo EXTENSION
look for pages case-insensitively (default)	busque páginas de forma instintiva (default)
look for pages case-sensitively	Procure páginas de forma sensível ao caso
interpret page name as a regex	nome da página como um regex interpret
the page name contains wildcards	O nome da página contém wildcards
can't open %s	Não pode abrir %s
FILE...	FILE...
The defaults are --man and --whatis.	Os padrões são --man e --whatis.
parse as man page	Parse as man page
parse as cat page	Parse como cat page
show whatis information	Mostre o que é a informação
show guessed series of preprocessing filters	Mostre uma série adivinhada de filtros de pré-processamento
ENCODING	ENCODING
use selected output encoding	use selected output encoding
%s: incompatible options	%s: opções incompatíveis
command exited with status %d: %s	O comando saiu com status %d: %s.
[SECTION] PAGE...	[Seção] Página...
reset all options to their default values	Resete todas as opções para seus valores padrão
WARNINGS	ADVERTENÇÕES
enable warnings from groff	possibilitar avisos de groff
Main modes of operation:	Principais modos de operação:
equivalent to whatis	equivalente a whatis
equivalent to apropos	equivalente a apropos.
search for text in all pages	Pesquisa de texto em todas as páginas
print physical location of man page(s)	localização física de impressão de man page(s) 
print physical location of cat file(s)	Localização física de impressão de arquivo de gato ((s) )
interpret PAGE argument(s) as local filename(s)	Interpreta o argumento PAGE(s) como nome de arquivo local(s)
used by catman to reformat out of date cat pages	usado por catman para reformatar páginas de gatos desatualizadas
output source page encoded in ENCODING	A página de fonte codificada em ENCODING é a saída de saída.
Finding manual pages:	Encontrar páginas do manual:
LOCALE	LOCAL
define the locale for this particular man search	Definir o local para este homem em particular busca
SYSTEM	O SISTEMA 
use manual pages from other systems	Usar páginas de manual de outros sistemas
LIST	LIST LIST LIST
use colon separated section list	colon use separated section list
