project,arquivo_a,arquivo_b,ctx_a,ctx_b,dunn_p,significativo,sig
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,ctx-0,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,ctx-0,ctx-1,6e-05,True,***
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,ctx-0,ctx-1,0.025559,True,*
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,ctx-0,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-0,ctx-1,0.281741,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-0,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-0,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-0,ctx-2,0.40033,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-0,ctx-2,0.001052,True,**
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-0,ctx-2,0.00078,True,***
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-0,ctx-2,0.000218,True,***
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-0,ctx-2,0.000385,True,***
