"context_config","emmean","SE","df","lower.CL","upper.CL",".group"
"es_fr",33.3733915760851,1.61507484231392,Inf,28.4785206602503,38.26826249192,"l"
"es_ru",33.213638351425,1.61507484231392,Inf,28.3187674355902,38.1085092672599,"kl"
"es_id",33.1208084051753,1.61507484231392,Inf,28.2259374893404,38.0156793210101,"kl"
"fr_ru",32.5775353360436,1.61507484231392,Inf,27.6826644202087,37.4724062518784,"jkl"
"es_zh_cn",32.5277450580518,1.61507484231392,Inf,27.632874142217,37.4226159738866,"jkl"
"de_es",32.1134280392335,1.61507484231292,Inf,27.2185571234017,37.0082989550653,"ijk"
"fr_zh_cn",31.7640089981384,1.61507484231392,Inf,26.8691380823036,36.6588799139733,"hij"
"fr_id",31.5597678515715,1.61507484231392,Inf,26.6648969357367,36.4546387674064,"ghij"
"de_fr",31.3194641912107,1.61507484231392,Inf,26.4245932753758,36.2143351070455,"fghi"
"de_ru",31.2319924085634,1.61507484231392,Inf,26.3371214927285,36.1268633243982,"efghi"
"ru_zh_cn",31.1989888570461,1.61507484231392,Inf,26.3041179412112,36.0938597728809,"efghi"
"id_ru",31.0370543333999,1.61507484231392,Inf,26.1421834175651,35.9319252492348,"efghi"
"es_vi",30.8608107274066,1.61507484231392,Inf,25.9659398115718,35.7556816432415,"defgh"
"ru_vi",30.5965377933443,1.61507484231392,Inf,25.7016668775095,35.4914087091791,"cdefg"
"de_zh_cn",30.3833276496169,1.61507484231392,Inf,25.4884567337821,35.2781985654518,"cdef"
"de_id",30.2902469952885,1.61507484231392,Inf,25.3953760794537,35.1851179111234,"cdef"
"fr_vi",30.1163814681603,1.61507484231392,Inf,25.2215105523255,35.0112523839952,"bcde"
"de_vi",29.8247506146318,1.61507484231392,Inf,24.9298796987969,34.7196215304666,"bcd"
"id_zh_cn",29.6455324583597,1.61507484231392,Inf,24.7506615425249,34.5404033741946,"bc"
"vi_zh_cn",28.9984459667151,1.61507484231394,Inf,24.1035750508802,33.89331688255,"ab"
"id_vi",28.1738679549153,1.61507484231392,Inf,23.2789970390804,33.0687388707501,"a"
