file,strategy,segments,context_languages,comet,chrF++,BLEU,TER
aspell-0.60.8.1.pt_BR.nllb.csv,nllb,293,nan,nan,63.39314268294375,51.62080032559053,52.52466627974464
bison-runtime-3.5.90.pt_BR.nllb.csv,nllb,9,nan,nan,55.55348871942325,43.16662696350561,44.776119402985074
diffutils-3.10.242.pt_BR.nllb.csv,nllb,237,nan,nan,55.78150469288473,32.10039281510985,63.417643429981496
exif-0.6.22.pt_BR.nllb.csv,nllb,68,nan,nan,56.73137206871256,34.81469029570044,52.06349206349207
gst-plugins-bad-1.27.90.pt_BR.nllb.csv,nllb,28,nan,nan,61.47644066808936,40.29429231913729,43.07116104868914
gst-plugins-ugly-1.27.90.pt_BR.nllb.csv,nllb,10,nan,nan,56.68382768507918,41.00589064172617,40.18691588785047
gstreamer-1.27.90.pt_BR.nllb.csv,nllb,374,nan,nan,53.73048878277946,36.44099700358701,60.0
gtkspell-3.0.7.pt_BR.nllb.csv,nllb,7,nan,nan,44.47277486943866,60.18660486876593,63.1578947368421
libiconv-1.17-pre1.pt_BR.nllb.csv,nllb,39,nan,nan,65.01535223759166,46.44046078025023,45.39249146757679
man-db-2.13.1-pre1.pt_BR.nllb.csv,nllb,188,nan,nan,51.623847991028114,34.85531652210111,62.37024221453287
nano-8.4-pre1.pt_BR.nllb.csv,nllb,596,nan,nan,56.721650360051946,38.950173105167295,56.3563926113727
parted-3.4.64.2.pt_BR.nllb.csv,nllb,524,nan,nan,64.49797414390102,49.09663562723532,47.21020268731496
psmisc-23.7-rc1.pt_BR.nllb.csv,nllb,71,nan,nan,60.9842244679258,56.59325281434651,45.47619047619048
sed-4.8.44.pt_BR.nllb.csv,nllb,116,nan,nan,55.6844608500209,36.08121629611903,69.81132075471697
tar-1.35.90.pt_BR.nllb.csv,nllb,576,nan,nan,58.03978260516365,36.42883162375721,57.85401083311839
wget-1.25.0.pt_BR.nllb.csv,nllb,560,nan,nan,58.50598974730134,42.16276591344959,52.94549010021999
xdg-user-dirs-0.17.pt_BR.nllb.csv,nllb,28,nan,nan,64.89969587390298,13.787813555848835,65.625
