projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,10,5,3,2,50.0,0.7252,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,10,2,2,6,20.0,0.5318,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,10,4,3,3,40.0,0.6285,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,10,3,3,4,30.0,0.5641,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,10,3,3,4,30.0,0.4351,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,10,5,2,3,50.0,0.4996,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,10,1,4,5,10.0,0.693,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,10,2,3,5,20.0,0.7252,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,10,4,3,3,40.0,0.5641,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,10,2,6,2,20.0,0.7252,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.id.po.meta,ctx-1,10,2,3,5,20.0,0.7897,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,10,2,4,4,20.0,0.5641,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,10,4,3,3,40.0,0.5641,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,10,5,2,3,50.0,0.4674,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,10,2,3,5,20.0,0.6285,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,10,3,3,4,30.0,0.6608,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,10,6,3,1,60.0,0.7897,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,10,2,2,6,20.0,0.4996,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.de.po.meta,ctx-1,10,3,2,5,30.0,0.3384,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,10,3,3,4,30.0,0.4674,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,10,2,3,5,20.0,0.6608,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.es.po.meta,ctx-1,10,6,3,1,60.0,0.7897,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,10,2,3,5,20.0,0.7252,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,10,2,3,5,20.0,0.4674,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,10,4,2,4,40.0,0.4351,Médio
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,10,1,4,5,10.0,0.7575,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,10,2,3,5,20.0,0.7252,Grande
gst-plugins-ugly_v1.27.90,gst-plugins-ugly-1.27.90.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,10,2,3,5,20.0,0.4674,Médio
