projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,28,9,19,0,32.14,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.de.po.meta,ctx-1,28,7,21,0,25.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,28,10,18,0,35.71,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,28,0,27,1,0.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.es.po.meta,ctx-1,28,6,22,0,21.43,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,28,3,24,1,10.71,0.865,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,28,7,21,0,25.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,28,4,24,0,14.29,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,28,1,27,0,3.57,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,28,0,27,1,0.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,28,9,19,0,32.14,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,28,0,27,1,0.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,28,9,19,0,32.14,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,28,10,18,0,35.71,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,28,6,22,0,21.43,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,28,7,21,0,25.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,28,6,22,0,21.43,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,28,7,21,0,25.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,28,3,24,1,10.71,0.8693,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,28,5,23,0,17.86,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,28,9,19,0,32.14,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,28,1,26,1,3.57,0.8671,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,28,4,23,1,14.29,0.865,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,28,8,20,0,28.57,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,28,7,21,0,25.0,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.id.po.meta,ctx-1,28,1,27,0,3.57,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,28,3,25,0,10.71,0.8736,Grande
xdg-user-dirs_v0.17,xdg-user-dirs-0.17.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,28,9,19,0,32.14,0.8736,Grande
