projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,9,8,0,1,88.89,0.849,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,9,9,0,0,100.0,0.8885,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,9,8,0,1,88.89,0.849,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,9,6,0,3,66.67,0.4541,Médio
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,9,7,0,2,77.78,0.6121,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,9,8,0,1,88.89,0.6911,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,9,7,0,2,77.78,0.5726,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.id.po.meta,ctx-1,9,9,0,0,100.0,0.8885,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,9,9,0,0,100.0,0.8885,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,9,7,1,1,77.78,0.6121,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,9,8,0,1,88.89,0.6121,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,9,8,0,1,88.89,0.849,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,9,7,0,2,77.78,0.5726,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,9,8,0,1,88.89,0.6121,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,9,4,0,5,44.44,0.0987,Insignificante
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.de.po.meta,ctx-1,9,8,1,0,88.89,0.8885,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,9,8,0,1,88.89,0.5726,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,9,3,1,5,33.33,0.1777,Pequeno
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,9,5,1,3,55.56,0.4936,Médio
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,9,5,1,3,55.56,0.3752,Médio
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.es.po.meta,ctx-1,9,9,0,0,100.0,0.8885,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,9,7,0,2,77.78,0.7701,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,9,7,0,2,77.78,0.7701,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,9,8,0,1,88.89,0.8095,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,9,3,0,6,33.33,0.0987,Insignificante
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,9,5,0,4,55.56,0.2567,Pequeno
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,9,7,0,2,77.78,0.5331,Grande
bison-runtime_v3.5.90,bison-runtime-3.5.90.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,9,8,0,1,88.89,0.7306,Grande
