projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,28,12,7,9,42.86,0.5121,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,28,12,7,9,42.86,0.4734,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,28,11,6,11,39.29,0.383,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,28,5,13,10,17.86,0.723,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,28,13,6,9,46.43,0.5293,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,28,11,10,7,39.29,0.5379,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,28,12,10,6,42.86,0.7359,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,28,10,9,9,35.71,0.4949,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.id.po.meta,ctx-1,28,6,6,16,21.43,0.5508,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,28,12,6,10,42.86,0.426,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,28,15,4,9,53.57,0.3959,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,28,11,7,10,39.29,0.3873,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,28,12,6,10,42.86,0.4131,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,28,11,11,6,39.29,0.6885,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,28,9,13,6,32.14,0.6326,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,28,6,9,13,21.43,0.624,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,28,13,9,6,46.43,0.581,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,28,6,12,10,21.43,0.6154,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,28,8,9,11,28.57,0.5508,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,28,9,8,11,32.14,0.5336,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,28,13,5,10,46.43,0.4303,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,28,14,3,11,50.0,0.2453,Pequeno
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,28,10,9,9,35.71,0.4648,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.es.po.meta,ctx-1,28,15,3,10,53.57,0.3185,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,28,13,7,8,46.43,0.5637,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,28,12,6,10,42.86,0.4519,Médio
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,28,10,9,9,35.71,0.5035,Grande
gst-plugins-bad_v1.27.90,gst-plugins-bad-1.27.90.pt_BR.llama.ctx-1.de.po.meta,ctx-1,28,11,10,7,39.29,0.6283,Grande
