projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,44,26,6,12,59.09,0.5313,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,44,27,7,10,61.36,0.6545,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,44,26,7,11,59.09,0.6193,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,44,16,9,19,36.36,0.322,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,44,19,10,15,43.18,0.4609,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,44,28,6,10,63.64,0.6492,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,44,24,10,10,54.55,0.5982,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,44,19,12,13,43.18,0.5859,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,44,15,18,11,34.09,0.5964,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,44,20,10,14,45.45,0.5278,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,44,29,10,5,65.91,0.753,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,44,18,8,18,40.91,0.3519,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.de.po.meta,ctx-1,44,22,9,13,50.0,0.4522,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,44,26,6,12,59.09,0.5683,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,44,20,8,16,45.45,0.4486,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,44,22,7,15,50.0,0.4187,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,44,29,9,6,65.91,0.7196,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,44,18,14,12,40.91,0.6439,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,44,16,10,18,36.36,0.3976,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,44,25,8,11,56.82,0.5876,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,44,26,10,8,59.09,0.7266,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,44,21,15,8,47.73,0.6897,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,44,23,13,8,52.27,0.7583,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,44,28,9,7,63.64,0.7477,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,44,20,10,14,45.45,0.4768,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,44,28,6,10,63.64,0.6105,Grande
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,44,15,9,20,34.09,0.3431,Médio
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,44,18,12,14,40.91,0.4997,Médio
