projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,140,69,45,26,49.29,0.6563,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,140,65,48,27,46.43,0.6417,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,140,47,60,33,33.57,0.6219,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,140,56,48,36,40.0,0.558,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,140,64,45,31,45.71,0.6047,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,140,56,49,35,40.0,0.6033,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,140,63,51,26,45.0,0.6872,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,140,54,63,23,38.57,0.719,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,140,59,43,38,42.14,0.5162,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.id.po.meta,ctx-1,140,46,46,48,32.86,0.4989,Médio
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,140,56,48,36,40.0,0.5883,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,140,57,44,39,40.71,0.5299,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,140,55,66,19,39.29,0.7315,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,140,65,44,31,46.43,0.5728,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.es.po.meta,ctx-1,140,63,49,28,45.0,0.6522,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,140,46,65,29,32.86,0.6828,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,140,57,55,28,40.71,0.6582,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,140,54,60,26,38.57,0.6861,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.de.po.meta,ctx-1,140,55,50,35,39.29,0.6028,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,140,66,47,27,47.14,0.6492,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,140,53,62,25,37.86,0.6919,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,140,56,52,32,40.0,0.5912,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,140,58,47,35,41.43,0.6076,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,140,63,51,26,45.0,0.6505,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,140,53,56,31,37.86,0.6569,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,140,56,54,30,40.0,0.6211,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,140,46,78,16,32.86,0.7849,Grande
sed_v4.8.44,sed-4.8.44.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,140,51,52,37,36.43,0.5557,Grande
